initial_stats cat_fasq_fastqc_multiqc,,,,,,,
Sample,Dups,GC,Avg len,Median len,Failed,Seqs,reads
M11_S3_R1_001,94.08105053,52,94.27171356,100,36.36363636,50.66,5.07E+07
M11_S3_R2_001,90.13566025,55,95.25093527,100,36.36363636,50.66,5.07E+07
M1_S1_R1_001,85.60925127,50,93.52372052,100,36.36363636,75.26,7.53E+07
M1_S1_R2_001,83.49455832,51,94.37857635,100,45.45454545,75.26,7.53E+07
M2_S2_R1_001,86.29736607,51,96.97902298,100,27.27272727,47.34,4.73E+07
M2_S2_R2_001,84.31617848,51,97.30020438,100,27.27272727,47.34,4.73E+07
M7_S15_R1_001,93.41901219,54,94.54209306,100,27.27272727,54.91,5.49E+07
M7_S15_R2_001,90.96193255,57,95.42135477,100,54.54545455,54.91,5.49E+07
M9_S16_R1_001,87.60271874,52,96.43149856,100,27.27272727,44.37,4.44E+07
M9_S16_R2_001,85.62210293,53,96.93614345,100,27.27272727,44.37,4.44E+07
